StateDesc,lat,lng,TotalPopulation,Data_Value,Data_Value_Unit,Data_Value_Type,Low_Confidence_Limit,High_Confidence_Limit,Measure_Short,LocationCount,LocationName
Alabama,32.95303646263432,-86.73038716830156,6231376.0,78.18289226970094,%,Crude prevalence,76.52313691507798,78.09644714038127,Annual Checkup,1154,Alabama
Alaska,61.59572794620338,-152.6023079179661,1376862.0,69.32050510508678,%,Crude prevalence,67.85474576271186,70.19254237288136,Annual Checkup,590,Alaska
Arizona,33.88733843883333,-111.58255654166666,11854372.0,71.60694456863679,%,Crude prevalence,70.05226190476189,71.89904761904762,Annual Checkup,840,Arizona
Arkansas,35.07097446428839,-92.36299616779026,3909560.0,77.46759190292515,%,Crude prevalence,76.58941947565543,78.32471910112359,Annual Checkup,1068,Arkansas
California,36.89373501730978,-120.20672133804348,70498206.0,70.10258605020388,%,Crude prevalence,69.02187500000001,70.49514266304348,Annual Checkup,2944,California
Colorado,39.20807420020834,-105.30669140208335,8619720.0,66.41406413433381,%,Crude prevalence,65.3556712962963,67.21550925925925,Annual Checkup,864,Colorado
Connecticut,41.55712863246479,-72.72490392852114,4364046.0,78.16850585442957,%,Crude prevalence,77.91267605633803,79.08767605633804,Annual Checkup,284,Connecticut
Delaware,39.135305481428574,-75.48899057194805,780466.0,78.32588556067785,%,Crude prevalence,77.72402597402599,79.06558441558441,Annual Checkup,154,Delaware
District of Columbia,38.91013527,-77.01443917,1203446.0,77.6,%,Crude prevalence,77.5,77.7,Annual Checkup,2,District of Columbia
Florida,28.14393403026345,-82.13505934758507,28700878.0,77.38199724761031,%,Crude prevalence,76.66339187705817,77.84088913282108,Annual Checkup,1822,Florida
Georgia,32.957119768747994,-83.57857459902087,9522708.0,78.32371654155519,%,Crude prevalence,77.12576243980737,78.57263242375602,Annual Checkup,1246,Georgia
Idaho,44.55956489912037,-114.71045136481482,2213726.0,66.23045254923149,%,Crude prevalence,65.56851851851852,67.67453703703704,Annual Checkup,432,Idaho
Illinois,40.34713319832472,-89.02256644961624,22523848.0,74.49993329736553,%,Crude prevalence,72.85771217712178,74.67741697416973,Annual Checkup,2710,Illinois
Indiana,39.98001046551775,-86.28392018263314,8945226.0,75.969663326561,%,Crude prevalence,74.30806213017752,76.17122781065089,Annual Checkup,1352,Indiana
Iowa,42.06021625488518,-93.3696507907307,4851806.0,75.06715080940992,%,Crude prevalence,73.96758872651357,75.91972860125261,Annual Checkup,1916,Iowa
Kansas,38.500467506830425,-97.31981881782883,4751386.0,73.95276513000628,%,Crude prevalence,72.42527733755942,74.42868462757528,Annual Checkup,1262,Kansas
Kentucky,37.772975644990694,-85.41081256225326,5048820.0,75.76087147095757,%,Crude prevalence,74.81052141527002,76.64478584729981,Annual Checkup,1074,Kentucky
Louisiana,30.978204864186047,-91.83876237619451,5970550.0,79.56146257882439,%,Crude prevalence,78.26966173361522,79.76458773784354,Annual Checkup,946,Louisiana
Maine,44.51806505769231,-69.54220470853846,1241394.0,72.80352329719653,%,Crude prevalence,71.95384615384616,73.74653846153845,Annual Checkup,260,Maine
Maryland,39.0970837486497,-76.99277749837573,9505758.0,77.78690701993466,%,Crude prevalence,76.63346379647749,77.93542074363992,Annual Checkup,1022,Maryland
Massachusetts,42.175647966926235,-71.32568047659836,9272430.0,77.31680517404823,%,Crude prevalence,77.43483606557378,78.68278688524589,Annual Checkup,488,Massachusetts
Michigan,43.47321074682609,-84.86087891052173,11064082.0,78.12082559583344,%,Crude prevalence,76.32159420289854,77.91586956521739,Annual Checkup,1380,Michigan
Minnesota,45.47797570044521,-94.25205112939499,8743108.0,73.47281442708932,%,Crude prevalence,72.14195205479452,74.00017123287671,Annual Checkup,1752,Minnesota
